
task	acc_norm	95% confidence interval
73	47.94520548%	[36.8775%, 59.2184%]
74	48.64864865%	[37.6118%, 59.8189%]
75	48.00000000%	[37.0691%, 59.1258%]
76	48.68421053%	[37.7837%, 59.7113%]
77	49.35064935%	[38.4830%, 60.2800%]
78	50.00000000%	[39.1674%, 60.8326%]
79	50.63291139%	[39.8374%, 61.3697%]
80	51.25000000%	[40.4933%, 61.8921%]
81	51.85185185%	[41.1356%, 62.4004%]
82	52.43902439%	[41.7647%, 62.8950%]
83	53.01204819%	[42.3810%, 63.3767%]
84	53.57142857%	[42.9847%, 63.8458%]
85	54.11764706%	[43.5763%, 64.3029%]
86	54.65116279%	[44.1562%, 64.7484%]
87	55.17241379%	[44.7245%, 65.1828%]
88	55.68181818%	[45.2818%, 65.6065%]
89	55.05617978%	[44.7263%, 64.9676%]
90	55.55555556%	[45.2719%, 65.3843%]
91	56.04395604%	[45.8071%, 65.7912%]
92	55.43478261%	[45.2637%, 65.1702%]
93	54.83870968%	[44.7333%, 64.5602%]
94	55.31914894%	[45.2570%, 64.9636%]
95	55.78947368%	[45.7711%, 65.3578%]
96	56.25000000%	[46.2759%, 65.7432%]
97	56.70103093%	[46.7716%, 66.1199%]
98	57.14285714%	[47.2584%, 66.4884%]
99	57.57575758%	[47.7367%, 66.8489%]
100	57.00000000%	[47.2154%, 66.2667%]
101	57.42574257%	[47.6850%, 66.6223%]
102	56.86274510%	[47.1750%, 66.0524%]
103	56.31067961%	[46.6760%, 65.4916%]
104	56.73076923%	[47.1370%, 65.8450%]
105	57.14285714%	[47.5903%, 66.1912%]
106	57.54716981%	[48.0361%, 66.5304%]
107	57.94392523%	[48.4745%, 66.8627%]
108	58.33333333%	[48.9057%, 67.1885%]
109	57.79816514%	[48.4163%, 66.6490%]
110	58.18181818%	[48.8406%, 66.9709%]
111	57.65765766%	[48.3611%, 66.4419%]
112	58.03571429%	[48.7785%, 66.7600%]
113	58.40707965%	[49.1894%, 67.0720%]
114	58.77192982%	[49.5939%, 67.3781%]
115	59.13043478%	[49.9921%, 67.6785%]
116	58.62068966%	[49.5222%, 67.1665%]
117	58.11965812%	[49.0613%, 66.6618%]
118	58.47457627%	[49.4536%, 66.9611%]
119	58.82352941%	[49.8401%, 67.2551%]
120	58.33333333%	[49.3880%, 66.7616%]
121	57.85123967%	[48.9443%, 66.2750%]
122	58.19672131%	[49.3252%, 66.5678%]
123	58.53658537%	[49.7005%, 66.8556%]
124	58.87096774%	[50.0705%, 67.1383%]
125	59.20000000%	[50.4351%, 67.4163%]
126	59.52380952%	[50.7945%, 67.6895%]
127	59.84251969%	[51.1489%, 67.9582%]
128	59.37500000%	[50.7140%, 67.4897%]
129	59.68992248%	[51.0636%, 67.7558%]
130	59.23076923%	[50.6365%, 67.2952%]
131	59.54198473%	[50.9815%, 67.5588%]
132	59.09090909%	[50.5618%, 67.1059%]
133	59.39849624%	[50.9024%, 67.3670%]
134	59.70149254%	[51.2383%, 67.6239%]
135	60.00000000%	[51.5698%, 67.8768%]
136	60.29411765%	[51.8969%, 68.1258%]
137	60.58394161%	[52.2196%, 68.3709%]
138	60.14492754%	[51.8082%, 67.9321%]
139	59.71223022%	[51.4034%, 67.4987%]
140	60.00000000%	[51.7226%, 67.7433%]
141	60.28368794%	[52.0376%, 67.9843%]
142	60.56338028%	[52.3486%, 68.2217%]
143	60.83916084%	[52.6557%, 68.4555%]
144	61.11111111%	[52.9589%, 68.6859%]
145	61.37931034%	[53.2583%, 68.9129%]
146	61.64383562%	[53.5540%, 69.1367%]
147	61.90476190%	[53.8460%, 69.3572%]
148	61.48648649%	[53.4503%, 68.9415%]
149	61.74496644%	[53.7391%, 69.1604%]
150	62.00000000%	[54.0244%, 69.3763%]
151	61.58940397%	[53.6355%, 68.9682%]
152	61.18421053%	[53.2523%, 68.5647%]
153	61.43790850%	[53.5350%, 68.7805%]
154	61.68831169%	[53.8144%, 68.9933%]
155	61.93548387%	[54.0905%, 69.2032%]
156	61.53846154%	[53.7140%, 68.8083%]
157	61.14649682%	[53.3429%, 68.4177%]
158	61.39240506%	[53.6165%, 68.6275%]
159	61.63522013%	[53.8870%, 68.8345%]
160	61.87500000%	[54.1544%, 69.0388%]
161	62.11180124%	[54.4187%, 69.2404%]
162	62.34567901%	[54.6800%, 69.4394%]
163	62.57668712%	[54.9384%, 69.6358%]
164	62.80487805%	[55.1939%, 69.8297%]
165	63.03030303%	[55.4466%, 70.0211%]
166	63.25301205%	[55.6964%, 70.2101%]
167	63.47305389%	[55.9435%, 70.3967%]
168	63.69047619%	[56.1879%, 70.5810%]
169	63.31360947%	[55.8266%, 70.2088%]
170	63.52941176%	[56.0689%, 70.3920%]
171	63.74269006%	[56.3085%, 70.5730%]
172	63.95348837%	[56.5455%, 70.7518%]
173	63.58381503%	[56.1905%, 70.3870%]
174	63.79310345%	[56.4255%, 70.5649%]
175	64.00000000%	[56.6580%, 70.7406%]
176	63.63636364%	[56.3085%, 70.3817%]
177	63.84180791%	[56.5391%, 70.5565%]
178	64.04494382%	[56.7673%, 70.7292%]
179	63.68715084%	[56.4231%, 70.3761%]
180	63.88888889%	[56.6494%, 70.5479%]
181	63.53591160%	[56.3100%, 70.1992%]
182	63.73626374%	[56.5345%, 70.3702%]
183	63.38797814%	[56.1996%, 70.0258%]
184	63.04347826%	[55.8689%, 69.6846%]
185	63.24324324%	[56.0920%, 69.8557%]
186	62.90322581%	[55.7656%, 69.5187%]
187	62.56684492%	[55.4431%, 69.1847%]
188	62.23404255%	[55.1244%, 68.8537%]
189	61.90476190%	[54.8095%, 68.5257%]
190	62.10526316%	[55.0318%, 68.6989%]
191	62.30366492%	[55.2520%, 68.8702%]
192	62.50000000%	[55.4700%, 69.0396%]
193	62.17616580%	[55.1598%, 68.7173%]
194	62.37113402%	[55.3761%, 68.8858%]
195	62.05128205%	[55.0697%, 68.5673%]
196	61.73469388%	[54.7667%, 68.2515%]
197	61.42131980%	[54.4672%, 67.9386%]
198	61.11111111%	[54.1710%, 67.6283%]
199	61.30653266%	[54.3864%, 67.7984%]
200	61.50000000%	[54.5999%, 67.9667%]


